Atom Nr.1

Distance label: 167 		 Original label: 170
Distance label: 168 		 Original label: 171
Distance label: 169 		 Original label: 172
Distance label: 170 		 Original label: 173
Distance label: 171 		 Original label: 174
Distance label: 172 		 Original label: 176
Distance label: 173 		 Original label: 177
Distance label: 174 		 Original label: 178
Distance label: 175 		 Original label: 181
Distance label: 176 		 Original label: 182
Distance label: 177 		 Original label: 183
Distance label: 178 		 Original label: 184
Distance label: 179 		 Original label: 185
Distance label: 180 		 Original label: 186
Distance label: 181 		 Original label: 187
Distance label: 182 		 Original label: 188
Distance label: 183 		 Original label: 189
Distance label: 184 		 Original label: 190
Distance label: 185 		 Original label: 191
Distance label: 186 		 Original label: 192
Distance label: 187 		 Original label: 193
Distance label: 188 		 Original label: 194
Distance label: 189 		 Original label: 195
Distance label: 190 		 Original label: 196
Distance label: 191 		 Original label: 197
Distance label: 192 		 Original label: 198
Distance label: 193 		 Original label: 199
Distance label: 194 		 Original label: 200
Distance label: 195 		 Original label: 201
Distance label: 196 		 Original label: 202
Distance label: 197 		 Original label: 203
Distance label: 198 		 Original label: 204
Distance label: 199 		 Original label: 205
Distance label: 200 		 Original label: 206
Distance label: 201 		 Original label: 207
Distance label: 202 		 Original label: 208
Distance label: 203 		 Original label: 209
Distance label: 204 		 Original label: 212
Distance label: 205 		 Original label: 213
Distance label: 206 		 Original label: 217
Distance label: 207 		 Original label: 218
Distance label: 208 		 Original label: 219
Distance label: 209 		 Original label: 220
Distance label: 210 		 Original label: 221
Distance label: 211 		 Original label: 222
Distance label: 212 		 Original label: 223
Distance label: 213 		 Original label: 224
Distance label: 214 		 Original label: 225
Distance label: 215 		 Original label: 226
Distance label: 216 		 Original label: 227
Distance label: 217 		 Original label: 228
Distance label: 218 		 Original label: 229
Distance label: 219 		 Original label: 230
Distance label: 220 		 Original label: 231
Distance label: 221 		 Original label: 232
Distance label: 222 		 Original label: 233
Distance label: 223 		 Original label: 234
Distance label: 224 		 Original label: 235
Distance label: 225 		 Original label: 236
Distance label: 226 		 Original label: 237
Distance label: 227 		 Original label: 238
